"";"country";"party";"content";"target";"stance"
"1";"sweden";"swe: Green Ecology Party";"Vi vill ge människor möjligheten att leva i ett Sverige där jämställdhet mellan könen råder";"Integration";"FAVOR"
"2";"sweden";"swe: Green Ecology Party";"och där lika rättigheter för alla är en självklarhet.";"Integration";"FAVOR"
"3";"sweden";"swe: Green Ecology Party";"Flyktingpolitiken ska göras human";"Immigration";"FAVOR"
"4";"sweden";"swe: Green Ecology Party";"Förslagen i vårt valmanifest grundar sig i en trefaldig solidaritet:";"Immigration";"FAVOR"
"5";"sweden";"swe: Green Ecology Party";"Alla barn har rätt till ett liv i kärlek, respekt och utan diskriminering.";"Integration";"FAVOR"
"6";"sweden";"swe: Green Ecology Party";"Varje barn måste bli sedd och få möjlighet att utvecklas utifrån sina egna förutsättningar.";"Integration";"FAVOR"
"7";"sweden";"swe: Green Ecology Party";"Vi vill stärka och utöka lokala antidiskrimineringsbyråer.";"Integration";"FAVOR"
"8";"sweden";"swe: Green Ecology Party";"Stor vikt ska läggas vid att motverka grogrunderna för rasism och diskriminering.";"Integration";"FAVOR"
"9";"sweden";"swe: Green Ecology Party";"Vi vill ha en generös flyktingpolitik där alla människor behandlas med respekt.";"Immigration";"FAVOR"
"10";"sweden";"swe: Green Ecology Party";"Barnets bästa ska sättas främst i all bedömning av flyktingärenden.";"Immigration";"NONE"
"11";"sweden";"swe: Green Ecology Party";"Den som på grund av myndigheternas hantering väntat längre ä nett år på ett slutgiltigt besked på sin asylansökan ska automatiskt få uppehållstillstånd";"Immigration";"FAVOR"
"12";"sweden";"swe: Left Communists Party";"kön";"Integration";"FAVOR"
"13";"sweden";"swe: Left Communists Party";"och etnicitet";"Immigration";"NONE"
"14";"sweden";"swe: Left Communists Party";"kön";"Integration";"FAVOR"
"15";"sweden";"swe: Left Communists Party";"eller etnicitet.";"Immigration";"FAVOR"
"16";"sweden";"swe: Left Communists Party";"och lagen mot etnisk diskriminering skärpas i tillämpningen.";"Integration";"FAVOR"
"17";"sweden";"swe: Left Communists Party";"för att bryta rasistiska";"Integration";"NONE"
"18";"sweden";"swe: Left Communists Party";"och sexistiska strukturer,";"Integration";"FAVOR"
"19";"sweden";"swe: Left Communists Party";"Turordningsreglerna och företrädesrätten ska återställas.";"Integration";"FAVOR"
"20";"sweden";"swe: Left Communists Party";"Utländsk arbetskraft ska inte utnyttjas eller diskrimineras.";"Integration";"FAVOR"
"21";"sweden";"swe: Left Communists Party";"och mångfald.";"Integration";"FAVOR"
"22";"sweden";"swe: Left Communists Party";"Det behövs också mer personal med annat modersmål än svenska.";"Integration";"FAVOR"
"23";"sweden";"swe: Left Communists Party";"Den som har varit utsatt för sexuell exploatering";"Integration";"FAVOR"
"24";"sweden";"swe: Left Communists Party";"eller förföljelse på grund av kön eller sexuell läggning och söker asyl i Sverige ska kunna få status som flykting.";"Immigration";"FAVOR"
"25";"sweden";"swe: Left Communists Party";"Vi är motståndare till EU:s allt hårdare flyktingpolitik";"Immigration";"AGAINST"
"26";"sweden";"swe: Left Communists Party";"och verkar för att denna ska ersättas av en generös tolkning av asylrätten";"Immigration";"FAVOR"
"27";"sweden";"swe: Left Communists Party";"och, som ett led i denna strävan, för att Sverige ska lämna Schengensamarbetet.";"Immigration";"FAVOR"
"28";"sweden";"swe: Left Communists Party";"Väljarna i Frankrike och Nederländerna avvisade förslaget till ny konstitution för EU i folkomröstningar. Vänsterpartiet kommer att motsätta sig varje försök att lyfta förslaget igen";"Immigration";"NONE"
"29";"sweden";"swe: Left Communists Party";"mot rasismens makt ställer vi antirasism,";"Integration";"FAVOR"
"30";"sweden";"swe: Social Democratic Labour Party";"Ofta är de unga eller har utländsk bakgrund.";"Integration";"FAVOR"
"31";"sweden";"swe: Social Democratic Labour Party";"Människor drabbas av hatbrott på grund av sina åsikter, sitt ursprung eller sin sexuella läggning.";"Integration";"FAVOR"
"32";"sweden";"swe: Social Democratic Labour Party";"eller ökad segregation.";"Integration";"FAVOR"
"33";"sweden";"swe: Social Democratic Labour Party";"Under mandatperioden vill vi förbättra mottagandet av nyanlända.";"Immigration";"FAVOR"
"34";"sweden";"swe: Social Democratic Labour Party";"Det ska gå snabbt att komma i arbete.";"Integration";"AGAINST"
"35";"sweden";"swe: Social Democratic Labour Party";"Vi vill stärka undervisningen i svenska för invandrare.";"Immigration";"NONE"
"36";"sweden";"swe: Social Democratic Labour Party";"Ett personligt etableringskontrakt ska finnas för alla nyanlända flyktingar som bygger på tydliga rättigheter och skyldigheter.";"Integration";"FAVOR"
"37";"sweden";"swe: Social Democratic Labour Party";"Alla insatser måste anpassas så att varje individ får det stöd man har behov av.";"Integration";"NONE"
"38";"sweden";"swe: Social Democratic Labour Party";"Intolerans och fördomar ska bekämpas.";"Integration";"FAVOR"
"39";"sweden";"swe: Social Democratic Labour Party";"All diskriminering är oacceptabel –";"Integration";"FAVOR"
"40";"sweden";"swe: Social Democratic Labour Party";"etnicitet,";"Integration";"NONE"
"41";"sweden";"swe: Social Democratic Labour Party";"sexuell läggning,";"Integration";"FAVOR"
"42";"sweden";"swe: Social Democratic Labour Party";"religion eller";"Integration";"FAVOR"
"43";"sweden";"swe: Social Democratic Labour Party";"Vår flyktingpolitik ska vara human och solidarisk.";"Immigration";"FAVOR"
"44";"sweden";"swe: Social Democratic Labour Party";"Den som är i behov av skydd ska få en fristad i vårt land.";"Immigration";"FAVOR"
"45";"sweden";"swe: Social Democratic Labour Party";"Alla ska ha rätt till en individuell och rättssäker prövning av sina asylskäl.";"Integration";"FAVOR"
"46";"sweden";"swe: Liberal People’s Party";"Sverige kommer för alltid att vara ett mångkulturellt land med olika religioner och kulturer sida vid sida – bara om vi ser det och bejakar det blir vi framgångsrika.";"Integration";"FAVOR"
"47";"sweden";"swe: Liberal People’s Party";"Världen blir farligare, trots att mycket utvecklas åt rätt håll.";"Immigration";"FAVOR"
"48";"sweden";"swe: Liberal People’s Party";"ett fungerande rättssamhälle";"Integration";"FAVOR"
"49";"sweden";"swe: Liberal People’s Party";"och, sist men inte minst, en samhällsmodell där alla människor – män och kvinnor, invandrare och svenskfödda – får komma till sin rätt och har samma rättigheter och skyldigheter.";"Integration";"FAVOR"
"50";"sweden";"swe: Liberal People’s Party";"Folkpartiet står för ett alternativ, en socialliberal samhällsmodell.";"Integration";"FAVOR"
"51";"sweden";"swe: Liberal People’s Party";"Vi fullföljer det arbetet i vår tid.";"Integration";"FAVOR"
"52";"sweden";"swe: Liberal People’s Party";"Svensk integrationspolitik har misslyckats.";"Integration";"AGAINST"
"53";"sweden";"swe: Liberal People’s Party";"En halv miljon människor bor i dessa utanförskapsområden,";"Integration";"NONE"
"54";"sweden";"swe: Liberal People’s Party";"av vilka en majoritet är invandrade eller barn till invandrade personer. Det ger utanförskapet en etnisk dimension som är ytterst problematisk";"Integration";"FAVOR"
"55";"sweden";"swe: Liberal People’s Party";"och föder en destruktiv vi-mot-dom-känsla.";"Integration";"FAVOR"
"56";"sweden";"swe: Liberal People’s Party";"Att bryta utanförskapet kräver en lång rad åtgärder. Det socialdemokratiska misslyckandet kommer inte helt kunna repareras på några få år,";"Integration";"FAVOR"
"57";"sweden";"swe: Liberal People’s Party";"kombinerat med språkinlärning";"Integration";"AGAINST"
