"";"party";"content";"target";"stance"
"1";"swe: Green Ecology Party";"Vi vill ge människor möjligheten att leva i ett Sverige där jämställdhet mellan könen råder";"integration";"FAVOR"
"2";"swe: Green Ecology Party";"och där lika rättigheter för alla är en självklarhet.";"integration";"FAVOR"
"3";"swe: Green Ecology Party";"Flyktingpolitiken ska göras human";"immigration";"FAVOR"
"4";"swe: Green Ecology Party";"Förslagen i vårt valmanifest grundar sig i en trefaldig solidaritet:";"immigration";"FAVOR"
"5";"swe: Green Ecology Party";"Alla barn har rätt till ett liv i kärlek, respekt och utan diskriminering.";"integration";"FAVOR"
"6";"swe: Green Ecology Party";"Varje barn måste bli sedd och få möjlighet att utvecklas utifrån sina egna förutsättningar.";"integration";"FAVOR"
"7";"swe: Green Ecology Party";"Vi vill stärka och utöka lokala antidiskrimineringsbyråer.";"integration";"FAVOR"
"8";"swe: Green Ecology Party";"Stor vikt ska läggas vid att motverka grogrunderna för rasism och diskriminering.";"integration";"FAVOR"
"9";"swe: Green Ecology Party";"Vi vill ha en generös flyktingpolitik där alla människor behandlas med respekt.";"immigration";"FAVOR"
"10";"swe: Green Ecology Party";"Barnets bästa ska sättas främst i all bedömning av flyktingärenden.";"immigration";"NONE"
"11";"swe: Green Ecology Party";"Den som på grund av myndigheternas hantering väntat längre ä nett år på ett slutgiltigt besked på sin asylansökan ska automatiskt få uppehållstillstånd";"immigration";"FAVOR"
"12";"swe: Left Communists Party";"kön";"integration";"FAVOR"
"13";"swe: Left Communists Party";"och etnicitet";"immigration";"NONE"
"14";"swe: Left Communists Party";"kön";"integration";"FAVOR"
"15";"swe: Left Communists Party";"eller etnicitet.";"immigration";"FAVOR"
"16";"swe: Left Communists Party";"och lagen mot etnisk diskriminering skärpas i tillämpningen.";"integration";"FAVOR"
"17";"swe: Left Communists Party";"för att bryta rasistiska";"integration";"NONE"
"18";"swe: Left Communists Party";"och sexistiska strukturer,";"integration";"FAVOR"
"19";"swe: Left Communists Party";"Turordningsreglerna och företrädesrätten ska återställas.";"integration";"FAVOR"
"20";"swe: Left Communists Party";"Utländsk arbetskraft ska inte utnyttjas eller diskrimineras.";"integration";"FAVOR"
"21";"swe: Left Communists Party";"och mångfald.";"integration";"FAVOR"
"22";"swe: Left Communists Party";"Det behövs också mer personal med annat modersmål än svenska.";"integration";"FAVOR"
"23";"swe: Left Communists Party";"Den som har varit utsatt för sexuell exploatering";"integration";"FAVOR"
"24";"swe: Left Communists Party";"eller förföljelse på grund av kön eller sexuell läggning och söker asyl i Sverige ska kunna få status som flykting.";"immigration";"FAVOR"
"25";"swe: Left Communists Party";"Vi är motståndare till EU:s allt hårdare flyktingpolitik";"immigration";"AGAINST"
"26";"swe: Left Communists Party";"och verkar för att denna ska ersättas av en generös tolkning av asylrätten";"immigration";"FAVOR"
"27";"swe: Left Communists Party";"och, som ett led i denna strävan, för att Sverige ska lämna Schengensamarbetet.";"immigration";"FAVOR"
"28";"swe: Left Communists Party";"Väljarna i Frankrike och Nederländerna avvisade förslaget till ny konstitution för EU i folkomröstningar. Vänsterpartiet kommer att motsätta sig varje försök att lyfta förslaget igen";"immigration";"NONE"
"29";"swe: Left Communists Party";"mot rasismens makt ställer vi antirasism,";"integration";"FAVOR"
"30";"swe: Social Democratic Labour Party";"Ofta är de unga eller har utländsk bakgrund.";"integration";"FAVOR"
"31";"swe: Social Democratic Labour Party";"Människor drabbas av hatbrott på grund av sina åsikter, sitt ursprung eller sin sexuella läggning.";"integration";"FAVOR"
"32";"swe: Social Democratic Labour Party";"eller ökad segregation.";"integration";"FAVOR"
"33";"swe: Social Democratic Labour Party";"Under mandatperioden vill vi förbättra mottagandet av nyanlända.";"immigration";"FAVOR"
"34";"swe: Social Democratic Labour Party";"Det ska gå snabbt att komma i arbete.";"integration";"AGAINST"
"35";"swe: Social Democratic Labour Party";"Vi vill stärka undervisningen i svenska för invandrare.";"immigration";"NONE"
"36";"swe: Social Democratic Labour Party";"Ett personligt etableringskontrakt ska finnas för alla nyanlända flyktingar som bygger på tydliga rättigheter och skyldigheter.";"integration";"FAVOR"
"37";"swe: Social Democratic Labour Party";"Alla insatser måste anpassas så att varje individ får det stöd man har behov av.";"integration";"NONE"
"38";"swe: Social Democratic Labour Party";"Intolerans och fördomar ska bekämpas.";"integration";"FAVOR"
"39";"swe: Social Democratic Labour Party";"All diskriminering är oacceptabel –";"integration";"FAVOR"
"40";"swe: Social Democratic Labour Party";"etnicitet,";"integration";"NONE"
"41";"swe: Social Democratic Labour Party";"sexuell läggning,";"integration";"FAVOR"
"42";"swe: Social Democratic Labour Party";"religion eller";"integration";"FAVOR"
"43";"swe: Social Democratic Labour Party";"Vår flyktingpolitik ska vara human och solidarisk.";"immigration";"FAVOR"
"44";"swe: Social Democratic Labour Party";"Den som är i behov av skydd ska få en fristad i vårt land.";"immigration";"FAVOR"
"45";"swe: Social Democratic Labour Party";"Alla ska ha rätt till en individuell och rättssäker prövning av sina asylskäl.";"integration";"FAVOR"
"46";"swe: Liberal People’s Party";"Sverige kommer för alltid att vara ett mångkulturellt land med olika religioner och kulturer sida vid sida – bara om vi ser det och bejakar det blir vi framgångsrika.";"integration";"FAVOR"
"47";"swe: Liberal People’s Party";"Världen blir farligare, trots att mycket utvecklas åt rätt håll.";"immigration";"FAVOR"
"48";"swe: Liberal People’s Party";"ett fungerande rättssamhälle";"integration";"FAVOR"
"49";"swe: Liberal People’s Party";"och, sist men inte minst, en samhällsmodell där alla människor – män och kvinnor, invandrare och svenskfödda – får komma till sin rätt och har samma rättigheter och skyldigheter.";"integration";"FAVOR"
"50";"swe: Liberal People’s Party";"Folkpartiet står för ett alternativ, en socialliberal samhällsmodell.";"integration";"FAVOR"
"51";"swe: Liberal People’s Party";"Vi fullföljer det arbetet i vår tid.";"integration";"FAVOR"
"52";"swe: Liberal People’s Party";"Svensk integrationspolitik har misslyckats.";"integration";"AGAINST"
"53";"swe: Liberal People’s Party";"En halv miljon människor bor i dessa utanförskapsområden,";"integration";"NONE"
"54";"swe: Liberal People’s Party";"av vilka en majoritet är invandrade eller barn till invandrade personer. Det ger utanförskapet en etnisk dimension som är ytterst problematisk";"integration";"FAVOR"
"55";"swe: Liberal People’s Party";"och föder en destruktiv vi-mot-dom-känsla.";"integration";"FAVOR"
"56";"swe: Liberal People’s Party";"Att bryta utanförskapet kräver en lång rad åtgärder. Det socialdemokratiska misslyckandet kommer inte helt kunna repareras på några få år,";"integration";"FAVOR"
"57";"swe: Liberal People’s Party";"kombinerat med språkinlärning";"integration";"AGAINST"
"58";"swe: Liberal People’s Party";"Principerna ska naturligtvis vara desamma för alla, invandrare såväl som svenskfödda.";"integration";"FAVOR"
"59";"swe: Liberal People’s Party";"Den som däremot är frisk och arbetsför, men ändå inte vill delta, förlorar rätten till bidrag";"integration";"AGAINST"
"60";"swe: Liberal People’s Party";"– erfarenhetsmässigt beror det i många fall på att personerna föredrar att försörja sig genom svartarbete.";"integration";"FAVOR"
"61";"swe: Liberal People’s Party";"Nyinflyttade flyktingar och flyktinganhöriga som har rätt till introduktionsersättning ska också omfattas av garantin.";"integration";"FAVOR"
"62";"swe: Liberal People’s Party";"1. EN STOR SPRÅKSATSNING GENOMFÖRS riktad mot vuxna invandrare som önskar förbättra sina kunskaper i svenska språket.";"integration";"FAVOR"
"63";"swe: Liberal People’s Party";"En sådan satsning ska öppna för möjligheten att reparera följderna av den ofta undermåliga sfi-undervisningen (sfi = svenska för invandrare) som hittills erbjudits invandrade personer.";"integration";"FAVOR"
"64";"swe: Liberal People’s Party";"Det är angeläget att andelen invandrare som går sfi ökar –";"integration";"FAVOR"
"65";"swe: Liberal People’s Party";"idag tycks rätt många föredra att lära sig svenska på egen hand.";"integration";"FAVOR"
