"text","cmp_code","eu_code"
"LEVEN, NU EN STRAKS","H",NA
"In het slop","H",NA
"Op 2 mei 1989 kwam het tweede kabinet-Lubbers ten val.","305",NA
"Voor de VVD behoefde het niet langer.","305",NA
"De begeerde belastingverlaging was binnen, aan wat nog restte viel weinig eer te behalen.","305",NA
"De VVD dus schuldig aan een crisis, die vervroegde verkiezingen onvermijdelijk maakte.","305",NA
"Toch was er meer aan de hand.","305",NA
"Het kabinet dat het karwei van het eerste kabinet-Lubbers moest afmaken, raakte steeds meer in het slop.","305",NA
"De werkloosheidsbestrijding, hoofdpunt van het kabinetsbeleid, had nauwelijks resultaat, bezuinigen ging steeds moeilijker.","305",NA
"Een record aantal bewinds-lieden werd tussentijds tot aftreden gedwongen.","305",NA
"Andere bewinds-lieden mochten wel blijven, maar hun politiek gezag was dikwijls aangetast.","305",NA
"Hoe nu verder.","H",NA
"Als het aan de hoofdrolspelers van de crisis ligt behoeft er niet veel te veranderen.","305",NA
"Het CDA wil het beleid op hoofdlijnen voortzetten, de VVD wil de coalitie die zij eerst heeft opgeblazen weer herstellen.","305",NA
"En de PvdA wil na zeven jaar oppositie tegen het kabinetsbeleid graag samenwerken met de partij die het sterkst haar stempel op het gevoerde beleid zette.","305",NA
"Een keuze dus tussen meer van hetzelfde en een koerscorrectie naar links.","305",NA
"Verzwegen ontwikkelingen","H",NA
"Tot die keuze laat de GPV zich niet brengen.","305",NA
"Zo'n keuzemogelijkheid gaat geheel voorbij aan de werkelijke problemen waarvoor onze samenleving staat, maar waarover velen liever zwijgen.","603",NA
"Onze samenleving is voor veel mensen bedreigend geworden.","603",NA
"Ongeboren kinderen missen bescherming met als gevolg dat jaarlijks 40.000 van hen met goedkeuring van de overheid worden gedood.","603",NA
"Vele duizenden mensen sterven door toepassing van euthanasie en de overheid blijft er passief onder.","603",NA
"De waarde van het leven van zieken en gehandicapten wordt openlijk ter discussie gesteld.","603",NA
"Het leven is niet meer veilig omdat mensen menen te mogen beschikken over leven dat zij niet de moeite waard vinden.","603",NA
"Onze samenleving verhardt.","603",NA
"Alles draait om de individuele mens wiens rechten en belangen veilig gesteld moeten worden.","603",NA
"Het gevolg is dat wie zwak is achterblijft en wie alleen staat vereenzaamt.","603",NA
"De overheid zegt de gevaren te zien, maar wil tegelijk de individualisering van de samenleving voortzetten.","603",NA
