"rn","cmp_code","content"
49337,0,"Elli, 73, asuu kerrostalokaksiossa."
49338,0,"Postinkantajana työuransa tehnyt mies kuoli joitakin vuosia sitten."
49339,0,"Aikuiset lapset asuvat eri puolilla Suomea."
49340,0,"He käyvät Ellin luona muutaman kerran vuodessa."
49341,0,"”Alakerran Saimin kanssa me ollaan kuin siskokset, jo kolmekymmentä vuotta on oltu ystävät ja tehty marjareissut ja muut yhdessä."
49342,0,"Vuoropäivin Saimi on käynyt minulla syömässä, ja sitten minä olen ollut Saimilla.”"
49343,0,"Elli on tehnyt pitkän työuran kätilönä."
49344,0,"Osake on hänen omassa omistuksessaan, ja nyt jo velatonkin."
49345,0,"Viime vuosi mullisti Ellin elämän: hänelle tuli aivohalvaus."
49346,0,"”Olin pihalla tamppaamassa mattoja, kun alkoi silmissä sumeta ja oksettaa."
49347,0,"Seuraava muistikuva on sairaalan osastolta.”"
49348,0,"Aivohalvaus oli onneksi lievä ja Elli pääsi jo viikon päästä takaisin kotiin."
49349,0,"Alkoi uuden elämän opettelu."
49350,0,"Oikea käsi ei toimi kunnolla."
49351,0,"Moni kodin askare, joka ennen hoitui vaivattomasti, on nyt ison ponnistuksen takana."
49352,0,"”On myös uuden kohtauksen pelkoa."
49353,0,"Syksy on ollut vaikea, pimenevät illat ovat vieneet mielen matalaksi.”"
49354,0,"Vaikka Elli on toipunut varsin hyvin, apu olisi kuitenkin tarpeen."
49355,0,"Saimi on tukena, mutta hänelläkin on jo ikää."
49356,0,"”Tässä on pitänyt miettiä kaikenlaisia ratkaisuja."
49357,0,"Haluaisin asua kotona, mutta varaa ei kuitenkaan ole kummoisiin aputoimiin”, Elli miettii."
49358,0,"Elli on ystäviltään kuullut, että toisissa kunnissa on ikäihmisille järjestetty kunnon kotipalveluita – toisissa ei."
49371,0,"Kirsti, 41, asuu Oulussa miehensä Heikin kanssa."
49372,0,"Perheeseen kuuluu kaksi lasta Kirstin aiemmasta avioliitosta, 10-vuotias Taneli ja 8-vuotias Perttu, sekä Kirstin ja Heikin yhteinen lapsi Olivia."
49373,0,"Kirsti jätti aikoinaan koulut kesken ja meni siivoustöihin."
49374,0,"Kun vuonna 1997 otettiin käyttöön kotitalousvähennys ja perheet alkoivat käyttää kotitalouspalveluita aiempaa enemmän, Kirsti uskalsi perustaa Kotisiivous Oy:n."
49375,0,"Nyt Kotisiivouksessa on jo kymmenen kokopäiväistä työntekijää."
49376,0,"Yrityksen kasvua hidastaa se, että ihmiset eivät ota työtä vastaan."
49377,0,"Kirstiä kiukuttaa, että normaalia työtä on julkisuudessa alentavasti kutsuttu ”piikatyöksi”."
49378,0,"Kirstille vastuullinen toiminta työnantajana on kunnia-asia."
49379,0,"Hän kantaa huolta työntekijöidensä voinnista ja jaksamisesta kannustaen heitä liikkumaan ja nauttimaan kulttuurista."
49380,0,"Yrittäjänä Kirsti on epätasa-arvoisessa asemassa lasten sairastaessa."
49381,0,"Hän ei saa vähentää verotuksessa omien lastensa sairastelun aiheuttamia hoitokustannuksia."
49382,0,"Asiaa hankaloittaa se, että Heikin työ vie hänet viikoiksi Vantaalle."
49383,0,"Lastenhoidon ohella tämä vaikuttaa perheen toimeentuloon: kahden asunnon ja kahden jääkaapin pitäminen kustantaa aina lisää – puhumattakaan työmatkoista."
49384,0,"Yrittäjän elämää Kirsti ei silti vaihtaisi mihinkään."
49385,0,"Tulevaisuudessa Kirsti toivoo voivansa palvella useampia asiakkaita, kasvattaa yritystään ja laajentaa muihinkin kotitalouspalveluihin."
49402,0,"Liisa, 35, on yo-merkonomi, joka työskentelee suunnittelijana viestintäyrityksessä."
49403,0,"Hänen miehensä Lars, 38, on suomalaisen vientiyrityksen myyntitehtävissä."
49404,0,"Heillä on 7-vuotias poika Luukas."
49405,0,"He asuvat Espoossa."
49406,0,"Larsin työ on varsinaista matkustamista."
49407,0,"Työn ja perheen yhteensovittaminen on haasteellista – varsinkin kun isovanhemmat asuvat satojen kilometrien päässä."
49408,0,"Luukakselle on palkattu hoitotäti illoille."
49409,0,"Liisa haluaa tehdä uraa tärkeinä pitämiensä asioiden parissa ja on siksi valmis panostamaan työhön."
49410,0,"Hän on jopa miettinyt oman viestintäyrityksen perustamista."
49411,0,"Ennen yrityksen perustamista Liisa haluaisi tehdä muutaman vuoden lyhennettyä työpäivää, jotta voisi olla enemmän Luukaksen kanssa."
49412,0,"Se ei kuitenkaan ole ison asuntolainan vuoksi taloudellisesti mahdollista."
49413,0,"Lars olisi halunnut Luukaksen syntymän jälkeen jäädä kotiin hoitovapaalle, mutta yrityksen kulttuuriin se ei sopinut."
49414,0,"Larsia harmittaa, että isiä syyllistetään siitä, etteivät he halua hoitaa lapsiaan."
49415,0,"Luukas on sairastellut."
49416,0,"Hänellä on todettu astma."
49417,0,"Liisa ja Lars joutuvat säännöllisesti viemään Luukasta lääkärille, mutta Kelan maksamat korvaukset kattavat vain pienen osan lääkärin laskusta."
49418,0,"Liisa, Lars ja Luukas viettävät kesälomat Larsin vanhempien mökillä Turun saaristossa."
49419,0,"Luukas haluaisi uida joka päivä, mutta sinilevä, merellä seilaavat öljytankkerit ja risteilijöiden päästöt hirvittävät."
49435,0,"Matti, 30, on agrologi."
49436,0,"Hän on ison valinnan edessä."
49437,0,"Maatilan ainoana poikana hänet on kasvatettu ja koulutettu viljelijän työhön."
49438,0,"Talo on saman suvun hallinnassa jo kahdeksannessa polvessa."
49439,0,"Isä ja äiti lähestyvät eläkeikää."
49440,0,"Edessä on sukupolvenvaihdos: Matti haluaisi ottaa tilan hoitoonsa vaimonsa Mallan, 28, kanssa."
49441,0,"Mattia hirvittää valtava laina, joka pitäisi ottaa tilan lunastamiseksi vanhemmilta ja sisarosuuksien maksamiseksi."
49442,0,"Sitten pitäisi vielä investoida."
49443,0,"Jos ottaa tilan hoitaakseen, pitää valita tuotantosuunta."
49444,0,"Lehmiä on tällä hetkellä parisenkymmentä."
49445,0,"Navetta on vanhanaikainen ja laajentamisen tarpeessa."
49446,0,"Laajentaminen ja isompi lehmäluku vaatisi peltomäärän lisäämistä rehuomavaraisuuden ja lannanlevitysalan vuoksi."
49447,0,"Investointi maksaa satojatuhansia eikä varmuutta valtion tuesta ole, kun Maatalouden kehittämisrahaston varat ovat vähissä."
49448,0,"Samasta rahastosta nuori viljelijä saa myös käynnistysavustusta – mutta käsittelyajat ovat tolkuttoman pitkiä."
49449,0,"”Maidontuotanto on ollut edes jonkin verran kannattavaa, mutta suuritöistä."
49450,0,"Epävarmuutta lisää nämä kaikki neuvottelut EU:ssa – kun ei voi olla varma miten niissä Suomi pärjää!” Matti viittaa ns. vakavien vaikeuksien tukineuvotteluihin."
49451,0,"”Viimeksi nämä artikla 141neuvottelut menivät huonosti."
49452,0,"Ministeri ei saanut yhtään tavoitetta lävitse”, Matti valittaa."
49453,0,"Matin mielenrauhaa ei helpota se, että jälleen kerran vaalien alla keskusteluun on noussut kiinteistöveron laajentaminen myös maa- ja metsätalousmaahan."
49454,0,"Iloisiakin uutisia on: Malla on raskaana ja kaksoset tuloillaan!"
49455,0,"Se vähän askarruttaa, miten lomitus- ja sijaisapuasiat hoituvat."
49456,0,"”Olisi se mukava perheen kanssa viettää myös yhteistä aikaa – ettei elämä olisi pelkkää työntekoa”, Matti tuumaa."
49457,0,"Sijaisapuakin tulevaisuudessa varmaan tarvitaan, jos lapset sairastavat eikä Malla pääse navettaan."
49458,0,"Vanhaa emäntää ja isäntää ei voi aina vaivata, varsinkin jos he muuttavat kirkonkylälle, kuten puhetta on ollut."
49466,0,"Mia, 26, on valmistunut ammattikorkeakoulusta viestinnän koulutusohjelmasta."
49467,0,"Pääaineena Mialla oli audiovisuaalinen mediatuotanto."
49468,0,"Viime vuodet hän on tehnyt kaikenlaisia keikkatöitä, jotka eivät ole vastanneet Mian saamaa koulutusta."
49469,0,"Opintoihin kuului pakollinen työharjoittelu, joka onnistui Mialta oman alan huippufirmassa erinomaisesti."
49470,0,"Yritys kuitenkin myytiin osaksi suurempaa yritystä, johto vaihtui eikä Mialle löytynyt enää paikkaa."
49471,0,"Valmistumisen jälkeen Mia on yrittänyt hakea töitä monesta yrityksestä."
49472,0,"Viime viikolla hän oli jo toistamiseen työhaastattelussa pienessä paikallisessa mediafirmassa, ja sai kuulla olevansa loppusuoralla erään toisen hakijan kanssa."
49473,0,"Mian palkkaamista pohtiva yrittäjä Ari on vaikean paikan edessä."
49474,0,"Hänen on valittava Rikun ja Mian välillä: molemmilla on sama koulutus ja yhtä paljon työkokemusta."
49475,0,"Työhaastattelussa Mia kertoi olleensa naimisissa Petrin kanssa jo kaksi vuotta."
49476,0,"Aria mietityttääkin, onko Mialla ja Petrillä suunnitelmissa perheenlisäystä."
49477,0,"”Ei se mies mikään tollo ole”, Mia sanoo."
49478,0,"”Sillä on itselläänkin kolme lasta, kyllä se ymmärtää."
49479,0,"Mutta sen on oikeasti mietittävä seurauksia omalle yritykselleen.”"
49480,0,"Ari on laskenut kykenevänsä juuri ja juuri palkkaamaan yhden uuden työntekijän helpottamaan henkilökunnan työkuormaa."
49481,0,"Jos Mia pian jäisi äitiys- ja vanhempainlomalle, siitä tulisi yritykselle lisäkustannuksia, joita yhteiskunta ei korvaa."
49482,0,"Tämä voisi kääntää tilanteen kilpailevien yritysten voitoksi."
49493,0,"Miguel, 24, on kotoisin Kolumbiasta."
49494,0,"Hän muutti Suomeen neljä vuotta sitten saatuaan opiskelupaikan Teknillisestä korkeakoulusta."
49495,0,"Loppuvuodesta Miguel sai valmiiksi diplomityönsä."
49496,0,"Miguel sai diplomityöhön rahoituksen yritykseltä, josta hänelle nyt tarjotaan työtä."
49497,0,"”Itse asiassa työtarjouksia on tullut jo kolmesta yrityksestä”, Miguel sanoo sujuvalla suomenkielellä."
49498,0,"”Haluan jäädä Suomeen."
49499,0,"Minulla on täällä kaikki.”"
49500,0,"Nyt Miguel jännittää sitä, ehtiikö hän saada työperusteisen oleskeluluvan ennen kuin työnhakuaika päättyy."
49501,0,"Pari vuotta sitten Miguel alkoi seurustella Kaisan, 27, kanssa."
49502,0,"Kaisan isä kuoli äkilliseen sairauskohtaukseen vuosi sitten."
49503,0,"Äiti oli kuollut jo aiemmin."
49504,0,"Sen jälkeen Kaisa perheen esikoisena otti hoitaakseen käytännön järjestelyt hautauksesta perunkirjoitukseen ja perintöveroihin."
49505,0,"Tilanne on ollut sisaruksille rankka."
49506,0,"Perintöverojen vuoksi pitää valita, pannaanko myyntiin perheen kesämökki vai omakotitalo."
49507,0,"Miguel on anonut jatkuvaa oleskelulupaa voidakseen jatkaa töitä Suomessa."
49508,0,"Hän on nyt odottanut asiansa käsittelyä neljä kuukautta."
49509,0,"”Tämä ei ole helppoa."
49510,0,"Koko ajan kaiken yllä on epävarmuus.”"
49511,0,"Miguel toivoo voivansa asua ja työskennellä Suomessa sekä perustaa perheen."
49526,0,"Olli Opettaja, 32, on filosofian maisteri ja pätkätyöläinen."
49527,0,"Olli on naimisissa Taina Tutkijan, 30, kanssa ja heillä on kolme lasta."
49528,0,"Olli valmistui seitsemän vuotta sitten yliopistosta pääaineenaan Suomen historia."
49529,0,"Hän hankki myös opettajan pätevyyden."
49530,0,"Kuluneiden seitsemän vuoden aikana hänellä on ollut yhdeksän työpätkää historianopettajana."
49531,0,"”Eräässä kaupungissa minua kierrätettiin koulusta toiseen virkasuhteen välttämiseksi”, Olli kertoo."
49532,0,"Lisäksi resurssit ovat kouluissa pieniä ja työuupumus tavallista."
49533,0,"Siihen vaikuttaa myös työpaikan jatkuva vaihtuminen."
49534,0,"Niin ikään erityisopetuksen saatavuus on heikkoa, eikä opettajilla ole käytännössä mahdollisuuksia saada siirrettyä oppilasta erityisopetukseen."
49535,0,"Vaikka opettajan työ on Ollille kutsumus, tuntuu pätkittäin tehty vastuullinen työ raskaalta."
49536,0,"”On vaikea innostaa nuoria, kun on itse aivan uuvuksissa”, hän sanoo."
49537,0,"Taina on tutkija Helsingin yliopistolla."
49538,0,"Ollin tavoin hän on tehnyt useita pätkätöitä."
49539,0,"Taina on kuitenkin ihmetellyt, miksi tutkimusresurssit ovat niin pienet."
49540,0,"Hän on pari kertaa esittänyt esimiehilleen, että lisätään yhteistyötä yritysten kanssa."
49541,0,"”Haluan tehdä tutkimusta, josta on oikeasti hyötyä ihmisille!” Taina sanoo."
