party,content,target,stance
nld: Labour Party,In de kinderopvang krijgen alle kinderen de kans zich van jongs af aan spelenderwijs te ontwikkelen en te leren.,Integration,FAVOR
nld: Christian Union,"Ook als we diepgaande religieuze verschillen hebben of ons aan elkaar ergeren, blijft de ruimte voor verschil – binnen de grenzen van de wet – gewaarborgd.",Integration,FAVOR
nld: Christian Union,"Nederland verplicht zich tegenover de UNHCR om een substantieel hoger aantal vluchtelingen dan nu het geval is op te nemen, die uit een gevaarlijke en uitzichtloze situatie dringend herhuisvesting nodig hebben.",Immigration,FAVOR
nld: Green Left,"Niemand hoeft zich geheel aan te passen aan dé Nederlandse cultuur, al is het maar omdat die niet bestaat.",Integration,FAVOR
nld: Socialist Party,Maar er zijn ook tekenen dat een deel van deze burgers achteropblijft en in een isolement terechtkomt.,Integration,AGAINST
nld: Christian Union,Uitgeprocedeerde asielzoekers mogen geen slachtoffer worden van de weigering van hun land van herkomst hen weer op te nemen.,Immigration,FAVOR
nld: Party of Freedom,"Als het gaat om de klimaattheorieën van Al Gore, de massa-immigratie, de islamisering, de Europese superstaat, de ontwikkelingshulp, de kunstsubsidies, strenger straffen; de burger snapt het en de elites niet.",Immigration,AGAINST
nld: Christian Democratic Appeal,"Asielzoekers die meewerken aan het realiseren van hun terugkeer, krijgen tot hun feitelijke terugkeer een onderkomen.",Immigration,FAVOR
nld: People’s Party for Freedom and Democracy ,Goede bewaking en controle van de Europese buitengrenzen zijn daarbij van belang.,Immigration,AGAINST
nld: Labour Party,Op basis van respect en gelijkwaardigheid.,Integration,FAVOR
nld: Socialist Party,"Bedrijven en instellingen worden aangesproken op hun maatschappelijke verantwoordelijkheid voor het scheppen van werk voor gedeeltelijk arbeidsongeschikten, afgestudeerde VMBO’ers en kinderen van migranten.",Integration,FAVOR
nld: Labour Party,Van de al langer in Nederland wonende bevolking wordt een open houding en een actieve belangstelling verwacht.,Integration,AGAINST
nld: People’s Party for Freedom and Democracy ,Om de leefbaarheid en integratie in achterstandswijken te verbeteren kunnen we veel doen.,Integration,FAVOR
nld: Christian Democratic Appeal,"1.5.3 Procedures moeten in korte tijd worden afgerond, zodat betrokkenen snel duidelijkheid hebben over hun asielverzoek.",Immigration,FAVOR
nld: Democrats‘66,Daar tref je mensen met andere omgangsvormen.,Integration,NONE
nld: Socialist Party,"Openbaarheid kan de integriteit van bestuurders vergroten, bijvoorbeeld door openheid te geven over functies en nevenfuncties en bijbehorende inkomens.",Integration,FAVOR
nld: Christian Union,Jaarlijks melden zich in Nederland enkele tienduizenden asielzoekers.,Immigration,NONE
nld: Reformed Political Party,Mogelijkheden voor opvang van vluchtelingen in de regio van herkomst moeten vergroot worden.,Immigration,FAVOR
nld: Labour Party,Die moet in staat zijn om Nederland en zijn burgers te beschermen en om de internationale rechtsorde te bevorderen.,Immigration,NONE
nld: Labour Party,"Iedereen moet ruimte bieden aan en respect hebben voor tradities, gewoontes en religies van anderen.",Integration,FAVOR
nld: Christian Union,Het opkomen voor de vreemdeling is een christelijke roeping.,Integration,FAVOR
nld: Labour Party,Dat komt ook tot uiting in de Nederlandse houding ten opzichte van het buitenland.,Immigration,NONE
nld: People’s Party for Freedom and Democracy ,Inburgeraars moeten wel de Nederlandse grondrechten kennen en accepteren.,Integration,AGAINST
nld: People’s Party for Freedom and Democracy ,Verblijfsvergunningen worden geweigerd tijdens of na voorafgaand illegaal verblijf in Nederland.,Integration,AGAINST
nld: Socialist Party,"Migranten moeten meer dan voorheen de kansen gebruiken om, waar nodig, beter Nederlands te leren en zich meer bij te scholen.",Integration,FAVOR
nld: Christian Union,Op scholen en bij inburgeringscursussen moet voorlichting worden gegeven over diversiteit en de wijze waarop wij minderheden de ruimte geven.,Integration,FAVOR
nld: Party for the Animals,Immigratie dient slechts op een beheerste wijze plaats te vinden.,Immigration,AGAINST
nld: Reformed Political Party,"Het land ligt grotendeels niet in Europa, kent een islamitische bevolking en cultuur, wil een antiwesterse rol in het Midden-Oosten spelen, maakt inbreuk op de rechten van minderheden (christenen, Koerden en Armeniërs) en grenst direct aan Iran, Irak en Syrië.",Immigration,AGAINST
nld: Christian Union,"Houders van een niet-Nederlands paspoort die zich tegen de Nederlandse samenleving en haar rechtsstaat keren, mogen daaruit worden verwijderd.",Integration,AGAINST
nld: Labour Party,De EU ambassades zorgen voor adequate dienstverlening aan Nederlanders in het buitenland.,Immigration,FAVOR
nld: Christian Democratic Appeal,4.1.14. Vanzelfsprekend wordt illegale tewerkstel-ling streng bestraft.,Integration,NONE
nld: Party of Freedom,"Geen subsidies meer voor islamitische media: Marokko.nl, Maroc.nl etc.",Integration,AGAINST
nld: Democrats‘66,"In het integratiedebat wordt gehamerd op de Nederlandse gebruiken en tradities, zonder besef dat deze al eeuwenlang beïnvloed worden door ontmoetingen met andere culturen.",Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,"Europese afspraken en (onderdelen van) internationale verdragen moeten het restrictieve Nederlandse beleid ondersteunen, niet tegenwerken.",Immigration,AGAINST
nld: Socialist Party,Leerlingen die dat nodig hebben krijgen praktijkgerichte lessen.,Integration,FAVOR
nld: Reformed Political Party,Wie in woord enof daad er blijk van geeft een gevaar te zijn voor onze  samenleving moet het Nederlanderschap (kunnen) worden ontnomen.,Integration,AGAINST
nld: Christian Democratic Appeal,"3.1.4 Bij de discussie over segregatie in het onder-wijs moet niet de etnische samenstelling van de leerlingpopulatie centraal staan, maar de kwaliteit van het onderwijs op school.",Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,De VVD wil bovendien een eind maken aan de mogelijkheid tot ’loketshoppen‘.,Immigration,AGAINST
nld: Democrats‘66,Mensen waarvoor geen bedrijfspensioen wordt opgebouwd.,Integration,AGAINST
nld: Christian Union,De komst van migranten naar Nederland heeft onze samenleving in veel gevallen verrijkt.,Immigration,FAVOR
nld: People’s Party for Freedom and Democracy ,Files moeten sterk worden teruggedrongen,Immigration,AGAINST
nld: Christian Union,Sinds de invoering van de nieuwe Vreemdelingenwet in 2001 is de instroom van asielzoekers teruggebracht van 60.000 naar 15.000.,Immigration,AGAINST
nld: Christian Union,"In het onderwijskansenbeleid moet niet alleen aandacht zijn voor achterblijvende leerlingen uit migrantengroepen, maar ook voor zwakke autochtone leerlingen.",Integration,FAVOR
nld: Party for the Animals,en is hierbij behulpzaam.,Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,Nederland moet gastvrijheid uitstralen om daarin wervend te zijn.,Immigration,FAVOR
nld: Christian Democratic Appeal,en hogere eisen stellen aan de inburgering van nieuw-komers.,Integration,AGAINST
nld: Christian Union,"Een samenleving waarin de integratie in harmonie verloopt en waarin diversiteit kan worden gewaardeerd, is slechts mogelijk bij beheersing en regulering van immigratiestromen.",Integration,FAVOR
nld: Democrats‘66,"Voor degenen die voor 1 april 2001 in Nederland asiel hebben aangevraagd, ongeacht hun huidige juridische status, voor zover zij geen ernstige delicten hebben gepleegd zal een verblijfsvergunning moeten worden verstrekt.",Immigration,FAVOR
nld: Democrats‘66,"Daarom zijn wij tegen de behoudzucht van de belangenbehartigers, links en rechts.",Integration,FAVOR
nld: Christian Union,Het bijzonder onderwijs heeft het (grondwettelijk) recht om bij toelating van leerlingen van hun ouders onderschrijving van of respect voor de grondslag van de school te vragen.,Integration,FAVOR
nld: Labour Party,Het verschijnsel vloeit simpelweg voort uit de uiteenlopende nationaliteitswetgeving van landen en uit het feit dat steeds meer mensen migreren en met buitenlandse partners trouwen.,Immigration,AGAINST
nld: People’s Party for Freedom and Democracy ,Een groot aantal personen verblijft illegaal in ons land.,Immigration,AGAINST
nld: Christian Union,Diensten van de overheid aan de burger worden in het Nederlands aangeboden.,Integration,AGAINST
nld: Democrats‘66,Diversiteit in de samenstelling van de bevolking geeft onze steden levendigheid en variatie.,Integration,FAVOR
nld: Christian Union,Zo zijn in Rotterdam het reformatorische Wartburg College en het islamitische Ibn Ghaldoen vorig jaar een uitwisselingsprogramma gestart.,Integration,FAVOR
nld: Christian Union,Subsidies in het kader van het integratiebeleid zijn bedoeld als tijdelijke stimulering van participerend burgerschap.,Integration,FAVOR
nld: Christian Union,"Als die weg er is, wordt die dan ook gekozen.",Integration,FAVOR
nld: Green Left,"Jongeren, vrouwen en migranten krijgen meer kans op een baan in de wetenschap.",Integration,FAVOR
nld: Christian Democratic Appeal,Het bewustzijn is gegroeid dat de wereldge-meenschap moet helpen bij de opvang van deze mensen in de eigen regio.,Immigration,NONE
nld: Green Left,Hierbij is aandacht voor de veiligheid van kwetsbare groepen.,Integration,FAVOR
nld: Democrats‘66,De afgelopen kabinetsperiode is het beleid voor asielzoekers en vluchtelingen in Nederland verhard.,Immigration,NONE
nld: Green Left,Bovendien wordt iedereen in gelijke gevallen gelijk behandeld.,Integration,FAVOR
nld: Christian Democratic Appeal,Dit geldt zowel voor autochtone als allochtone kinderen.,Integration,NONE
nld: Reformed Political Party,Het betekent niet dat nieuwkomers heel onze cultuur en al onze gewoonten moeten indrinken en kopiëren.,Integration,FAVOR
nld: Christian Democratic Appeal,5.1.11. Grensoverschrijdende samenwerking wordt sterk bevorderd.,Immigration,FAVOR
nld: People’s Party for Freedom and Democracy ,De overheid moet werken noodzakelijk maken voor wie werken kan.,Integration,FAVOR
nld: Democrats‘66,Allochtone jeugdigen zijn oververtegenwoordigd in de gesloten jeugdzorg.,Integration,AGAINST
nld: People’s Party for Freedom and Democracy ,"Hoe groter de waarde van een immigrant voor onze arbeidsmarkt, hoe meer punten worden toegekend en dus hoe makkelijker diegene kan binnenkomen.",Immigration,FAVOR
nld: Party of Freedom,Assimilatiecontracten. Niet tekenen of niet naleven = het land uit,Integration,AGAINST
nld: Reformed Political Party,"Kleinschalige leerwerkcentra waar kwetsbare jongeren met een grote afstand tot de arbeidsmarkt worden opgeleid en begeleid richting een duurzaam betaalde baan, worden aangemoedigd.",Integration,FAVOR
nld: Green Left,Die maakt een open samenleving mogelijk.,Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,De VVD ziet kansen voor hoogopgeleide kennismigranten om ons land en onze economie te versterken.,Immigration,FAVOR
nld: Party of Freedom,Ons stelsel van uitkeringen zal snel impopulair worden als Nederlanders doorkrijgen dat ze bezig zijn met het subsidiëren van  moslimimmigratie.,Integration,FAVOR
nld: Christian Democratic Appeal,Van nieuwkomers mogen we verwachten dat zij een extra inzet leveren om hun plaats te vinden in de samenleving.,Integration,FAVOR
nld: Green Left,Voor een open samenleving met respect voor mensenrechten en minderheden.,Integration,FAVOR
nld: Christian Union,De ruimte voor religie – dus ook voor de islam – in de publieke ruimte blijft.,Integration,FAVOR
nld: Green Left,"d)  het wegnemen van barrières voor werken, wonen en  studeren in een ander EU-land, ook voor migranten met  een permanente verblijfsvergunning;",Integration,FAVOR
nld: Labour Party,"Wie anderen bescherming bood, werd ook zelf beschermd.",Integration,FAVOR
nld: Party of Freedom,Verbod op buitenlandse financiering of buitenlandse bestuurlijke invloed moskeeën,Integration,AGAINST
nld: Party for the Animals,Een belangrijke oorzaak van immigratie is armoede elders.,Immigration,AGAINST
nld: Socialist Party,De discussie over de problemen met de integratie van deze migranten is lange tijd taboe verklaard.,Integration,NONE
nld: Labour Party,"Criminele netwerken, drugsmaffia’s, grondstoffenroof, wapenhandel en chaotische vluchtelingenstromen kunnen zich vanuit die staten verspreiden.",Immigration,AGAINST
nld: Party for the Animals,Daarnaast biedt Nederland eigenstandig hulp bij het orga niseren van de opvang van vluchtelingen in de regio van herkomst.,Immigration,FAVOR
nld: People’s Party for Freedom and Democracy ,Het aantrekkelijker maken van Nederland voor kenniswerkers en talent versterkt onze economie.,Immigration,FAVOR
nld: Socialist Party,"Uitgeprocedeerde asielzoekers en onverzekerde daklozen mogen niet worden uitgesloten van medische hulp, ook niet wanneer ze niet kunnen voldoen aan de identificatieplicht.",Integration,FAVOR
nld: Christian Union,Nederland kan niet onbeperkt mensen opnemen die vooral uit economische motieven een verblijfsvergunning willen hebben.,Immigration,AGAINST
nld: Green Left,"Mensen die de Nederlandse nationaliteit krijgen, hoeven hun oude niet op te geven.",Integration,FAVOR
nld: Socialist Party,Asielzoekers moeten waar mogelijk worden opgevangen in de eigen regio.,Immigration,FAVOR
nld: Socialist Party,Migranten moeten zich openstellen voor de waarden en de cultuur van de samenleving waar ze nu deel van uitmaken.,Integration,AGAINST
nld: Christian Union,Een succesvolle integratie komt van twee kanten.,Integration,FAVOR
nld: Green Left,Voor Nederland en de Nederlandse Antillen en Aruba geldt een onverdeeld Nederlands burgerschap.,Immigration,FAVOR
