party,content,target,stance
nor: Norwegian Labour Party,", illegal innvandring",Immigration,AGAINST
nor: Liberal Party,At Norge oppretter et såkornfond for innvandrere fra fattige  land som ønsker å starte næringsvirksomhet i hjemlandet.,Integration,FAVOR
nor: Progress Party,. det er etisk uforsvarlig å ikke stramme inn denne innvandringen for å forebygge konflikter i det norske samfunn.,Immigration,AGAINST
nor: Norwegian Labour Party,støtte og oppfordre lag og organisasjoner til å inkludere minoriteter,Integration,FAVOR
nor: Centre Party,"Forbedre oppfølgingen av barn som ikke har tilstrekkelig gode norskkunnskaper, herunder innføre en obligatorisk språktest for alle fireåringer.",Integration,AGAINST
nor: Liberal Party,"og ser på dette som en ressurs for videre sam-funnsutvikling, både kulturelt, sosialt og økonomisk.",Integration,FAVOR
nor: Socialist Left Party,"Maktbalansen mellom kjønnene innebærer at mange kvinner med minoritetsbakgrunn diskrimineres, både på grunn av hudfarge, etnisk bakgrunn og tradisjon og fordi de er kvinner.",Integration,FAVOR
nor: Socialist Left Party,SV vil jobbe for en forbedret familiegjenforeningspolitikk slik at familier raskere kan leve sammen i Norge.,Immigration,FAVOR
nor: Progress Party,"For å kunne bli norsk statsborger og for å få stemmerett bør det stilles krav om selvforsørgelsesevne, samfunnsforståelse og tilstrekkelige norskkunnskaper",Integration,AGAINST
nor: Socialist Left Party,. Pensjonsrettighetene til innvandrere med kort botid i Norge må sikres,Integration,FAVOR
nor: Socialist Left Party,Utlendingsnemnda bør derfor erstattes av et system med særdomstol som i Sverige.,Immigration,AGAINST
nor: Christian People’s Party,sikre alle reell tros- og religionsfrihet.,Integration,FAVOR
nor: Progress Party,"at politiet ikke skal drive med oppgaver som kan utføres like godt, eller bedre, av andre virksomheter",Integration,AGAINST
nor: Progress Party,"Integrasjons-arbeidet i skolen må ha som mål å gi barn  av innvandrerforeldre gode norskkunn-skaper samt god forståelse av norsk kultur, tradisjon, dagligliv og lovverk.",Integration,FAVOR
nor: Centre Party,Sikre tilbudet om morsmålsundervisning til elever med minoritetsbakgrunn.,Integration,FAVOR
nor: Socialist Left Party,og Norge må arbeide for at FNs retningslinjer for vern av internt fordrevne blir etterlevd.,Immigration,FAVOR
nor: Socialist Left Party,"Ikke minst er det viktig at idrettsmiljøene gjenspeiler det flerkulturelle samfunnet, siden idretten er en av de viktigste arenaene for integrering.",Integration,FAVOR
nor: Liberal Party,"Den offentlige innsatsen for å hindre at man blir diskriminert, enten på grunn av sitt kjønn, funksjonsevne eller på grunn av sin etniske opprinnelse, må styrkes.",Integration,FAVOR
nor: Progress Party,"Muntlig  sidemål bør inngå som en naturlig del av  den ordinære norskundervisningen, men  uten at kunnskap i sidemål skal måles med  prøver eller eksamen.",Integration,FAVOR
nor: Centre Party,"at det skal være obligatorisk for alle nyankomne innvandrerexe \""innvandrere\"" å delta i opplæring i norsk og samfunnskunnskap.",Integration,AGAINST
nor: Progress Party,sende utenlandske borgere ut av landet og la dem sone straffen i hjemlandet,Immigration,AGAINST
nor: Christian People’s Party,Det er viktig at de får rom til å utvikle sin egen identitet.,Integration,FAVOR
nor: Progress Party,"og tar sterk  avstand fra enhver form for forskjells-behandling basert på hudfarge, rase, kultu-rell, etnisk eller religiøs tilknytning.",Integration,FAVOR
nor: Norwegian Labour Party,"at flyktninger og innvandrere som kommer til Norge, skal gjennomgå et individuelt tilpasset integrasjonsprogram.",Integration,FAVOR
nor: Progress Party,Fremskrittspartiet mener at flyktninger som  er utplassert i en norsk kommune med statlig integreringstilskudd ikke kan gis  offentlig økonomisk støtte til livsopphold  dersom de bosetter seg i en annen norsk  kommune.,Integration,AGAINST
nor: Norwegian Labour Party,styrke saksbehandlingskapasiteten og redusere saksbehandlingstiden i UDI,Immigration,AGAINST
nor: Centre Party,gjeninnføre obligatorisk norskopplæring med samfunnsfag i asylmottak.,Integration,AGAINST
nor: Centre Party,"Senterpartiet mener at det flerkulturelle mangfoldet vi etter hvert har fått i Norge er en berikelse, samtidig som det vil være en utfordring på noen områder.",Integration,FAVOR
nor: Socialist Left Party,Kvinner i asylmottak må sikres en trygg hverdag og beskyttelse mot vold,Immigration,FAVOR
nor: Liberal Party,Gjøre det enklere å få godkjent relevant utdanning fra et annet land i Norge.,Integration,FAVOR
nor: Norwegian Labour Party,og en økonomisk og industriell samarbeidssone i nord,Immigration,FAVOR
